id	negated	value
97189005	0	<< 705870006 |implanteerbare polsprothese (fysiek object)|
97189006	0	<< 705889006 |implanteerbare knieprothese (fysiek object)|
97189007	0	<< 705880005 |implanteerbare elleboogprothese (fysiek object)|
97189008	0	<< 705871005 |gewrichtsprothese van digitus van hand (fysiek object)|
97189009	0	<< 705482008 |Female-incontinence urethral barrier (physical object)|
97189010	0	<< 704802009 |Female fecal incontinence surgical mesh (physical object)|
97189011	0	<< 702212007 |Male stress urinary incontinence surgical mesh (physical object)|
97189012	0	<< 469626009 |Hydraulic incontinence treatment system (physical object)|
97189013	0	<< 261680000 |Artificial urinary sphincter (physical object)|
97189014	0	<< 469876008 |Intrauterine device	 metal-covered (physical object)|
97189015	0	<< 705847003 |Pelvic organ prolapse surgical mesh (physical object)|
97189016	0	<< 303619008 |cardiaal implantaat (fysiek object)|
97189017	0	<< 470646006 |Implantable cardiac monitor (physical object)|
97189018	0	<< 25937001 |neurostimulator (fysiek object)|
97189019	0	<< 705565008 |Brain electrical stimulation system (physical object)|
97189020	0	<< 470726009 |Incontinence-control electrical stimulation system	 implantable (physical object)|
97189021	0	<< 705563001 |Analgesic electrical stimulation system (physical object)|
97189022	0	<< 462766001 |Interferential electrical stimulation system (physical object)|
97189023	0	<< 462797002 |Percutaneous incontinence-control electrical stimulation system (physical object)|
97189024	0	<< 469712005 |Gait-enhancement electrical stimulation system	 implantable (physical object)|
97189025	0	<< 447033006 |nervus-vagusstimulator (fysiek object)|
97189026	0	<< 706122008 |Implantable infusion pump (physical object)|
97189027	0	<< 467396002 |Cochlear implant system (physical object)|
97189028	0	<< 705307001 |Middle ear implant system (physical object)|
97189029	0	<< 468421000 |botverankerd hoortoestel (fysiek object)|
97189030	0	<< 711326009 |implanteerbaar gehoorimplantaatsysteem op basis van vibraties via beengeleiding (fysiek object)|
97189031	0	<< 360042007 |vasculaire stent (fysiek object)|
97189032	0	<< 303617005 |vasculair implantaat (fysiek object)|
97189033	0	<< 469040006 |Endobronchial valve (physical object)|
97189034	0	<< 469789005 |Lung volume reduction coil (physical object)|
97189035	0	<< 705631002 |Bronchial stent (physical object)|
97189036	0	<< 701345007 |Laryngeal stent (physical object)|
97189037	0	<< 2282003 |borstimplantaat (fysiek object)|
97189038	0	<< 770738008 |bilimplantaat (fysiek object)|
97189039	0	<< 304076002 |Male genital implant (physical object)|
97189040	0	<< 705883007 |implanteerbare schouderprothese (fysiek object)|
97189041	0	<< 304074004 |Urinary implant (physical object)|
97189042	0	<< 705897004 |proefprothese van gewricht (fysiek object)|
97189043	0	<< 705865004 |implanteerbare enkelprothese (fysiek object)|
97189044	0	<< 706004007 |Implantable cardiac pacemaker (physical object)|
97189045	0	<< 303913007 |Cardiac pacemaker component (physical object)|
97189046	0	<< 462852004 |Infusion/injection port/catheter	 implantable (physical object)|
92652903	0	< 410720000 | Pain by sensation quality (finding) |
92654803	0	< 362966006 AND ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR < 387713003 ) ) ) )
92654804	0	< 79604008 AND ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR < 387713003 ) ) ) )
92654805	0	< 49601007 AND ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR < 387713003 ) ) ) )
92654806	0	< 49601007 AND ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR < 387713003 ) ) ) )
92654807	0	< 49601007 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654808	0	< 53619000 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654809	0	< 362969004 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654810	0	< 362969004 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654811	0	< 362969004 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654812	0	< 362969004 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92654813	0	< 414027002 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92922653	0	< 414030009 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92922654	0	< 128598002 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
92922655	0	< 128598002 AND ( ( < 64572001 ) MINUS ( * : * = ( (<< 31156008 OR << 85421007 OR << 387713003 ) ) ) )
93065354	0	<< 303533002 |gewrichtsimplantaat van heup (fysiek object)|
93065355	0	<< 304124003 |gewrichtsimplantaat van schouder (fysiek object)|
93065356	0	<< 705870006 |implanteerbare polsprothese (fysiek object)|
93065357	0	<< 705889006 |implanteerbare knieprothese (fysiek object)|
93065358	0	<< 705880005 |implanteerbare elleboogprothese (fysiek object)|
93065359	0	<< 705871005 |gewrichtsprothese van digitus van hand (fysiek object)|
93065360	0	<< 705482008 |Female-incontinence urethral barrier (physical object)|
93065361	0	<< 704802009 |Female fecal incontinence surgical mesh (physical object)|
93065362	0	<< 702212007 |Male stress urinary incontinence surgical mesh (physical object)|
93065363	0	<< 469626009 |Hydraulic incontinence treatment system (physical object)|
