id	negated	value
109136705	\0	< 297947008 |Finding of consistency of skin (finding)| OR \t\n< 366649008 |Finding of thickness of skin (finding)| OR \n< 185823004 |Finding of skin texture (finding)|
109136706	\0	< 185823004 |Finding of skin texture (finding)|
109136707	\0	< 185823004 |Finding of skin texture (finding)| : [0..0] {363698007 |Finding site (attribute)| = *}
109136708	\0	< 185823004 |Finding of skin texture (finding)|
109136709	\0	< 185823004 |Finding of skin texture (finding)|:[0..0] {116676008 | Associated morphology (attribute) | = *}
109136710	\0	< 410720000 | Pain by sensation quality (finding) |
109136711		<123037004 |Body structure (body structure)|
109136712		<<363698007 |Finding site (attribute)|
109136714	\0	<<185823004
109136715	\0	<<185823004: [0..0] 363698007 |Finding site| = *
109136716	\0	<<185823004
109140403	\0	<404684003 |Clinical finding (finding)|: {363714003 |Interprets| = 364530004 |Skin texture|}
110360853	\0	< 410720000 | Pain by sensation quality (finding) |
110361653	\0	<<302226006 |enfermedad de nervio periférico (trastorno)|
110361654	\0	< 410720000 | Pain by sensation quality (finding) |
110361660	\0	< 367394000 |Texture of skin or mucosa (finding)|
110361661	\0	< 185823004 |Finding of skin texture (finding)|
110361662	\0	< 410720000 | Pain by sensation quality (finding) |
110361663	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110378703	\0	<< 185823004 |Finding of skin texture (finding)|
11040932	\0	<<15112006 | Dengue virus immunoglobulin G level (procedure) |
11040948	\0	<< 409680005 | Anti-dengue immunoglobulin M antibody (substance) |
11047855	\0	<<15112006 | Dengue virus immunoglobulin G level (procedure) |
11047868	\0	<< 409680005 | Anti-dengue immunoglobulin M antibody (substance) |
11047871	\0	<< 409680005 | Anti-dengue immunoglobulin M antibody (substance) |
11048055	\0	720005005 | Human papillomavirus deoxyribonucleic acid test positive, high risk on cervical specimen (finding) |
11048297	\0	50879009 | Senile degeneration (morphologic abnormality) |
11048701	\0	62286002 | Senile atrophy (morphologic abnormality) |
11048702	\0	38551001 | Senile plaque (morphologic abnormality) |
110758353	\0	<<252569009 | Test for allergens (procedure) |
110758354	\0	< 410720000 | Pain by sensation quality (finding) |
110783353	\0	< 185823004 |Finding of skin texture (finding)|
110783903	\0	<< 73211009 |Diabetes mellitus|
110807153	\0	< 185823004 |Finding of skin texture (finding)| MINUS (<< 366649008 |Finding of thickness of skin (finding)| or << 297947008 |Finding of consistency of skin (finding)|   or ( < 185823004 |Finding of skin texture (finding)|  : 363698007 |Finding site (attribute)| = < 39937001 |Skin structure (body structure)| ))
110807154		<<403197009 | Sun-induced wrinkles |
110822703	\0	< 410720000 | Pain by sensation quality (finding) | MINUS <<  123037004 |Body structure (body structure)|
110822704		<<  123037004 |Body structure (body structure)|
110822705	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110822706	\0	< 410720000 | Pain by sensation quality (finding) |
110822707	\0	< 410720000 | Pain by sensation quality (finding)|  : 363698007 |Finding site (attribute)| != *
110822708	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110822709	\0	<185823004 |Finding of skin texture (finding)|
110828453	\0	< 185823004 |Finding of skin texture (finding)|
110828454	\0	< 185823004 |Finding of skin texture (finding)| AND 404684003 |Clinical finding (finding)|
110828455	\0	< 185823004 |Finding of skin texture (finding)| AND < 404684003 |Clinical finding (finding)|
110828456		< 297947008 |Finding of consistency of skin (finding)|
110828457		< 366649008 |Finding of thickness of skin (finding)|
110828458		< 276323006 |Finding of color of skin (finding)|
110828459		<< 297947008 |Finding of consistency of skin (finding)|
110828460		<< 366649008 |Finding of thickness of skin (finding)|
110828461		<< 20795001 |Structure of skin region (body structure)|
110828462		< 247434009 |Wrinkled skin (finding)|
110834003	\0	< 410720000 | Pain by sensation quality (finding) |
110834004	\0	< 410720000 | Pain by sensation quality (finding) |
110834005		125661000119107 |Biliary colic with obstruction|
110834006		21005005 | Burning epigastric pain |
110834007		136571000119109 | Adult colic |
110834008		247361008 | Evening colic |
110834009		16331000 | Heartburn |
110834012	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110834013	\0	<< 185823004 |Finding of skin texture (finding)|
110834014	\0	< 185823004 |Finding of skin texture (finding)|
110834015	\0	< 185823004 |Finding of skin texture (finding)|
110834016		< 297947008 |Finding of consistency of skin (finding)|
110834017		< 366649008 |Finding of thickness of skin (finding)|
110834018		< 276323006 |Finding of color of skin (finding)|
110834019		< 699697007 |Finding of sensation by site (finding)|
110837253	\0	< 410720000 | Pain by sensation quality (finding) |
110837254		<123037004 |Body structure (body structure)|
110837255		<123037004 |Body structure (body structure)|
110837256		<279001004 |Pain finding at anatomical site (finding)|
110837257	\0	<185823004 |Finding of skin texture (finding)|
110837258		<< 366649008 |Finding of thickness of skin (finding)|
110837259		< 366649008 |Finding of thickness of skin (finding)|
110837260		<<366649008 |Finding of thickness of skin (finding)|
110837261		< 297947008 |Finding of consistency of skin (finding)|
110837262		<< 276323006 |Finding of color of skin (finding)|
110837263		<297971001 |Finding of sensation of skin (finding)|
110853603	\0	<410720000 | Pain by sensation quality (finding) |
110853604	\0	<410720000 | Pain by sensation quality (finding) | MINUS <123037004 |Body structure (body structure)|
110853605	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110853606	\0	<185823004 |Finding of skin texture (finding)|
110891803	\0	< 410720000  | Pain by sensation quality (finding) |
110891804		<<9991008 |Abdominal colic (finding)|
110891805	\0	<< 95668009
110891806		<<279001004 |Pain finding at anatomical site (finding)|
110891807	\0	<185823004 |Finding of skin texture (finding)|
110891808		<<248194004 |Wrinkled face (finding)|
110891809		<< 366649008 |Finding of thickness of skin (finding)|
110891810		<< 297947008
110891811		274672009 |Changes in skin texture (finding)|
110891812		403197009 |Sun-induced wrinkles (disorder)|
110971453	\0	< 410720000 | Pain by sensation quality (finding) |
110971454		<263597005 |Site of referred pain (attribute)|
110971455	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110971456	\0	<185823004 |Finding of skin texture (finding)|
110971457	\0	< 410720000 | Pain by sensation quality (finding) |
110971458		< 410720000 | Pain by sensation quality (finding) |: 363698007 |Finding site (attribute)|=*
110971459	\0	< 410720000 | Pain by sensation quality (finding) | : 363698007 |Finding site (attribute)| = *
