terminologyId,description
TMP-2yvydy,"Test PT FSN"
TMP-2yz7tk,"Test Intensional Migration"
TMP-311ygt,"Semantix test 1"
TMP-31mrlm,"Module D Exercise 2"
TMP-329i3i,"Starter set- basert på tysk oversettelse"
TMP-35vm05,"Module D Assignment - Kristel Van de loock"
TMP-36j3pc,"Kan ikke være tomt"
TMP-36s7kw,"Phast Test"
TMP-37v6gr,test
TMP-38bldn,"Module D Exercise 2"
TMP-39jbld,"Members of CV19-INV-LaboratoryTests
with their subtypes"
TMP-3cihn0,"General Surgery : Findings"
TMP-3cnbpp,"Module D Exercise 2"
TMP-3gfkk6,"Members of CV19-ASS-DiagnosisAbsentCertainty with their subtypes"
TMP-3hxp40,"The following organism should be used when recording the organism causing COVID-19 infections."
TMP-3sg9db,"Oncology RefSet"
TMP-3t29v7,"Importert Global Patient Set"
TMP-3tb5qb,"Module D assignment - Mukesh Kashyap"
TMP-3ttrtf,"General Medicine :   Menstrual History,General Examination,CVS EXAMINATION,GIT,CNS examination,Urogenital system examination"
TMP-3ufqh2,"ENT : Diagnoses"
TMP-3vnbqf,"A subset of medicine and medical supplies used for patients with stomach cancer."
TMP-3w82i3,test2
TMP-3ww9ua,"First example"
TMP-41n9ri,test_nathalie
TMP-41soh1,"Impfpass-Test V1"
TMP-447im5,"MCH General Surgery"
TMP-494xzy,"Regimes and therapies (regime/therapy)"
TMP-49ff8r,test1
TMP-4c65en,"Rutt Lindström"
TMP-4ezi7g,"NEPHROLOGY : Personal History"
